Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
HOBART,JAN,135552,149565,0,0,285117,0,285117,post
HOBART,FEB,115076,113163,0,0,228239,0,228239,post
HOBART,MAR,72088,80867,0,0,152955,0,152955,post
HOBART,APR,780,1341,0,0,2121,0,2121,post
HOBART,MAY,1263,2003,0,0,3266,0,3266,post
HOBART,JUN,2302,3099,0,0,5401,0,5401,post
HOBART,JUL,2840,3618,0,0,6458,0,6458,post
HOBART,AUG,2400,3050,0,0,5450,0,5450,post
KARRATHA,JAN,21219,17595,0,0,38814,0,38814,post
KARRATHA,FEB,17774,17772,0,0,35546,0,35546,post
KARRATHA,MAR,13511,14175,0,0,27686,0,27686,post
KARRATHA,APR,1530,1737,0,0,3267,0,3267,post
KARRATHA,MAY,1356,1295,0,0,2651,0,2651,post
KARRATHA,JUN,3414,3651,0,0,7065,0,7065,post
KARRATHA,JUL,7827,8130,0,0,15957,0,15957,post
KARRATHA,AUG,10688,9863,0,0,20551,0,20551,post
LAUNCESTON,JAN,68722,77376,0,0,146098,0,146098,post
LAUNCESTON,FEB,56306,55972,0,0,112278,0,112278,post
LAUNCESTON,MAR,36699,39219,0,0,75918,0,75918,post
LAUNCESTON,APR,301,475,0,0,776,0,776,post
LAUNCESTON,MAY,348,362,0,0,710,0,710,post
LAUNCESTON,JUN,994,1097,0,0,2091,0,2091,post
LAUNCESTON,JUL,2039,2584,0,0,4623,0,4623,post
LAUNCESTON,AUG,1958,1949,0,0,3907,0,3907,post
MACKAY,JAN,34227,32672,0,0,66899,0,66899,post
MACKAY,FEB,31457,32056,0,0,63513,0,63513,post
MACKAY,MAR,26375,24390,0,0,50765,0,50765,post
MACKAY,APR,3428,3753,0,0,7181,0,7181,post
MACKAY,MAY,3517,3674,0,0,7191,0,7191,post
MACKAY,JUN,8504,8404,0,0,16908,0,16908,post
MACKAY,JUL,15694,16265,0,0,31959,0,31959,post
MACKAY,AUG,15570,15854,0,0,31424,0,31424,post
MELBOURNE,JAN,1116371,1053603,581276,514803,2169974,1096079,3266053,post
MELBOURNE,FEB,921157,934726,408642,334254,1855883,742896,2598779,post
MELBOURNE,MAR,624922,619391,244268,227490,1244313,471758,1716071,post
MELBOURNE,APR,20061,21697,5448,12355,41758,17803,59561,post
MELBOURNE,MAY,29128,28400,5643,9003,57528,14646,72174,post
MELBOURNE,JUN,60190,62328,6431,9456,122518,15887,138405,post
MELBOURNE,JUL,29537,31636,49,12705,61173,12754,73927,post
MELBOURNE,AUG,6854,13444,0,14761,20298,14761,35059,post
NEWCASTLE,JAN,52332,52937,1665,1425,105269,3090,108359,post
NEWCASTLE,FEB,46233,46207,625,479,92440,1104,93544,post
NEWCASTLE,MAR,31344,30200,0,0,61544,0,61544,post
NEWCASTLE,APR,247,189,0,0,436,0,436,post
NEWCASTLE,MAY,202,203,0,0,405,0,405,post
NEWCASTLE,JUN,1087,1016,0,0,2103,0,2103,post
NEWCASTLE,JUL,7474,8291,0,0,15765,0,15765,post
NEWCASTLE,AUG,3077,2296,0,0,5373,0,5373,post
PERTH,JAN,336945,359009,238157,204575,695954,442732,1138686,post
PERTH,FEB,297652,300717,169482,135267,598369,304749,903118,post
PERTH,MAR,233956,226081,93680,84820,460037,178500,638537,post
PERTH,APR,17595,17136,1696,5422,34731,7118,41849,post
PERTH,MAY,15780,17204,1141,2285,32984,3426,36410,post
PERTH,JUN,29887,31756,1652,2469,61643,4121,65764,post
PERTH,JUL,53442,55274,2702,3866,108716,6568,115284,post
PERTH,AUG,58156,59012,2038,4142,117168,6180,123348,post
ROCKHAMPTON,JAN,21682,20775,0,0,42457,0,42457,post
ROCKHAMPTON,FEB,20718,20712,0,0,41430,0,41430,post
ROCKHAMPTON,MAR,16383,15076,0,0,31459,0,31459,post
ROCKHAMPTON,APR,1234,1271,0,0,2505,0,2505,post
ROCKHAMPTON,MAY,2071,2088,0,0,4159,0,4159,post
ROCKHAMPTON,JUN,4595,4698,0,0,9293,0,9293,post
ROCKHAMPTON,JUL,8535,8745,0,0,17280,0,17280,post
ROCKHAMPTON,AUG,8972,9209,0,0,18181,0,18181,post
SUNSHINE COAST,JAN,49802,53319,0,0,103121,0,103121,post
SUNSHINE COAST,FEB,40821,41262,0,0,82083,0,82083,post
SUNSHINE COAST,MAR,30794,31890,0,0,62684,0,62684,post
SUNSHINE COAST,APR,0,0,0,0,0,0,0,post
SUNSHINE COAST,MAY,0,0,0,0,0,0,0,post
SUNSHINE COAST,JUN,0,0,0,0,0,0,0,post
SUNSHINE COAST,JUL,4595,4152,0,0,8747,0,8747,post
SUNSHINE COAST,AUG,1032,1717,0,0,2749,0,2749,post
SYDNEY,JAN,1142353,1131604,877231,775800,2273957,1653031,3926988,post
SYDNEY,FEB,1003957,983714,595097,506896,1987671,1101993,3089664,post
SYDNEY,MAR,657237,661525,341102,344459,1318762,685561,2004323,post
SYDNEY,APR,28082,20096,7751,33619,48178,41370,89548,post
SYDNEY,MAY,33504,28774,10119,20218,62278,30337,92615,post
SYDNEY,JUN,74605,65547,12537,21934,140152,34471,174623,post
SYDNEY,JUL,134227,140497,12877,29798,274724,42675,317399,post
SYDNEY,AUG,55176,35022,9825,28770,90198,38595,128793,post
TOWNSVILLE,JAN,63574,59105,0,0,122679,0,122679,post
TOWNSVILLE,FEB,53546,51590,0,0,105136,0,105136,post
TOWNSVILLE,MAR,44037,43063,0,0,87100,0,87100,post
TOWNSVILLE,APR,3786,4068,0,0,7854,0,7854,post
TOWNSVILLE,MAY,4672,4575,0,0,9247,0,9247,post
TOWNSVILLE,JUN,11330,11590,0,0,22920,0,22920,post
TOWNSVILLE,JUL,28925,27368,0,0,56293,0,56293,post
TOWNSVILLE,AUG,27166,27623,0,0,54789,0,54789,post
All Australian Airports,JAN,5055479,5055479,2215508,1938543,10110958,4154051,14265009,post
All Australian Airports,FEB,4330713,4330713,1529809,1275620,8661426,2805429,11466855,post
All Australian Airports,MAR,3049073,3049073,887482,838247,6098146,1725729,7823875,post
All Australian Airports,APR,142694,142694,17304,58002,285388,75306,360694,post
All Australian Airports,MAY,169366,169366,18749,34240,338732,52989,391721,post
All Australian Airports,JUN,370155,370155,25244,39591,740310,64835,805145,post
All Australian Airports,JUL,717772,717772,20016,53835,1435544,73851,1509395,post
All Australian Airports,AUG,567014,567014,15549,56449,1134028,71998,1206026,post
