Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
BRISBANE,OCT,769148.6,782579,266814.8,238096,1551727.6,504910.8,2056638.4,pre
BRISBANE,SEP,747060.4,736007.8,244722.2,252418,1483068.2,497140.2,1980208.4,pre
CAIRNS,APR,167828.2,171067.8,24012.2,25134.8,338896,49147,388043,pre
CAIRNS,AUG,189031.2,195655.6,30266.6,34551.4,384686.8,64818,449504.8,pre
CAIRNS,DEC,183762.6,174954.4,27343,30213.2,358717,57556.2,416273.2,pre
CAIRNS,FEB,141975.4,147113.4,27675.2,25722,289088.8,53397.2,342486,pre
CAIRNS,JAN,167758.8,181439.4,30071.4,26889.8,349198.2,56961.2,406159.4,pre
CAIRNS,JUL,203965.6,208337.4,30690,25643,412303,56333,468636,pre
CAIRNS,JUN,171144.6,159270.2,20884.4,22631.6,330414.8,43516,373930.8,pre
CAIRNS,MAR,155625,153241,25858.6,27898.2,308866,53756.8,362622.8,pre
CAIRNS,MAY,154177.6,154925.4,19632,22794.6,309103,42426.6,351529.6,pre
CAIRNS,NOV,169597.6,172428.6,22882.2,24312,342026.2,47194.2,389220.4,pre
CAIRNS,OCT,188239.2,198064.4,27692.6,25649.6,386303.6,53342.2,439645.8,pre
CAIRNS,SEP,186159.4,178526.2,26500.8,27965.6,364685.6,54466.4,419152,pre
CANBERRA,APR,121440.2,122968,2326.2,2476.6,244408.2,4802.8,249211,pre
CANBERRA,AUG,131748,131287.8,2048.8,2277.6,263035.8,4326.4,267362.2,pre
CANBERRA,DEC,114735.2,124461.6,2239.6,3670.2,239196.8,5909.8,245106.6,pre
CANBERRA,FEB,114505.4,111004,1987,1700.8,225509.4,3687.8,229197.2,pre
CANBERRA,JAN,100613.8,90300,2646.6,2112.4,190913.8,4759,195672.8,pre
CANBERRA,JUL,132355.2,129880.6,2456.6,2356.2,262235.8,4812.8,267048.6,pre
CANBERRA,JUN,122261.2,124444.6,1957.2,2609,246705.8,4566.2,251272,pre
CANBERRA,MAR,132237.8,133974.6,1987.2,2073.8,266212.4,4061,270273.4,pre
