airport_1,airport_2,pre,airport_1_long,airport_2_long,,,,,,,iata_code,name,state
MEL,BNE,1748700,Melbourne International Airport,Brisbane International Airport,,,,,,,,,
CNS,BNE,677550,Cairns International Airport,Brisbane International Airport,,,,,,,,,
TSV,BNE,485150,Townsville Airport,Brisbane International Airport,,,,,,,,,
PER,BNE,482700,Perth International Airport,Brisbane International Airport,,,,,,,,,
MKY,BNE,336800,Mackay Airport,Brisbane International Airport,,,,,,,,,
NTL,BNE,292050,Newcastle Airport,Brisbane International Airport,,,,,,,,,
CBR,BNE,291450,Canberra International Airport,Brisbane International Airport,,,,,,,,,
ROK,BNE,272400,Rockhampton Airport,Brisbane International Airport,,,,,,,,,
DRW,BNE,204900,Darwin International Airport,Brisbane International Airport,,,,,,,,,
GLT,BNE,156950,Gladstone Airport,Brisbane International Airport,,,,,,,,,
PPP,BNE,111700,Proserpine Whitsunday Coast Airport,Brisbane International Airport,,,,,,,,,
HBA,BNE,103150,Hobart Airport,Brisbane International Airport,,,,,,,,,
EMD,BNE,99250,Emerald Airport,Brisbane International Airport,,,,,,,,,
MEL,CBR,528100,Melbourne International Airport,Canberra International Airport,,,,,,,,,
SYD,CBR,475200,Sydney Kingsford Smith International Airport,Canberra International Airport,,,,,,,,,
SYD,CFS,170500,Sydney Kingsford Smith International Airport,Coffs Harbour Airport,,,,,,,,,
SYD,CNS,562700,Sydney Kingsford Smith International Airport,Cairns International Airport,,,,,,,,,
MEL,CNS,418200,Melbourne International Airport,Cairns International Airport,,,,,,,,,
SYD,DBO,94100,Sydney Kingsford Smith International Airport,Dubbo City Regional Airport,,,,,,,,,
SYD,DRW,160150,Sydney Kingsford Smith International Airport,Darwin International Airport,,,,,,,,,
MEL,DRW,152500,Melbourne International Airport,Darwin International Airport,,,,,,,,,
MEL,HBA,796750,Melbourne International Airport,Hobart Airport,,,,,,,,,
SYD,HBA,315000,Sydney Kingsford Smith International Airport,Hobart Airport,,,,,,,,,
SYD,HTI,123150,Sydney Kingsford Smith International Airport,Hamilton Island Airport,,,,,,,,,
PER,KGI,117150,Perth International Airport,Kalgoorlie Boulder Airport,,,,,,,,,
PER,KTA,235250,Perth International Airport,Karratha Airport,,,,,,,,,
MEL,LST,459100,Melbourne International Airport,Launceston Airport,,,,,,,,,
SYD,LST,146100,Sydney Kingsford Smith International Airport,Launceston Airport,,,,,,,,,
SYD,MCY,276400,Sydney Kingsford Smith International Airport,Sunshine Coast Airport,,,,,,,,,
SYD,MEL,4459000,Sydney Kingsford Smith International Airport,Melbourne International Airport,,,,,,,,,
PER,MEL,1026600,Perth International Airport,Melbourne International Airport,,,,,,,,,
ZNE,MEL,233550,Newman Airport,Melbourne International Airport,,,,,,,,,
MCY,MEL,229850,Sunshine Coast Airport,Melbourne International Airport,,,,,,,,,
MQL,MEL,103300,Mildura Airport,Melbourne International Airport,,,,,,,,,
SYD,OOL,1349150,Sydney Kingsford Smith International Airport,Gold Coast Airport,,,,,,,,,
MEL,OOL,992200,Melbourne International Airport,Gold Coast Airport,,,,,,,,,
SYD,PER,869750,Sydney Kingsford Smith International Airport,Perth International Airport,,,,,,,,,
PHE,PER,172050,Port Hedland International Airport,Perth International Airport,,,,,,,,,
SYD,PQQ,96000,Sydney Kingsford Smith International Airport,Port Macquarie Airport,,,,,,,,,
PER,ZNE,149000,Perth International Airport,Newman Airport,,,,,,,,,
