Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total
MELBOURNE,FEB,921157,934726,408642,334254,1855883,742896,2598779
MELBOURNE,MAR,624922,619391,244268,227490,1244313,471758,1716071
MELBOURNE,APR,20061,21697,5448,12355,41758,17803,59561
MELBOURNE,MAY,29128,28400,5643,9003,57528,14646,72174
MELBOURNE,JUN,60190,62328,6431,9456,122518,15887,138405
MELBOURNE,JUL,29537,31636,49,12705,61173,12754,73927
MELBOURNE,AUG,6854,13444,0,14761,20298,14761,35059
NEWCASTLE,JAN,52332,52937,1665,1425,105269,3090,108359
NEWCASTLE,FEB,46233,46207,625,479,92440,1104,93544
NEWCASTLE,MAR,31344,30200,0,0,61544,0,61544
NEWCASTLE,APR,247,189,0,0,436,0,436
NEWCASTLE,MAY,202,203,0,0,405,0,405
NEWCASTLE,JUN,1087,1016,0,0,2103,0,2103
NEWCASTLE,JUL,7474,8291,0,0,15765,0,15765
NEWCASTLE,AUG,3077,2296,0,0,5373,0,5373
PERTH,JAN,336945,359009,238157,204575,695954,442732,1138686
PERTH,FEB,297652,300717,169482,135267,598369,304749,903118
PERTH,MAR,233956,226081,93680,84820,460037,178500,638537
PERTH,APR,17595,17136,1696,5422,34731,7118,41849
PERTH,MAY,15780,17204,1141,2285,32984,3426,36410
PERTH,JUN,29887,31756,1652,2469,61643,4121,65764
PERTH,JUL,53442,55274,2702,3866,108716,6568,115284
PERTH,AUG,58156,59012,2038,4142,117168,6180,123348
ROCKHAMPTON,JAN,21682,20775,0,0,42457,0,42457
ROCKHAMPTON,FEB,20718,20712,0,0,41430,0,41430
ROCKHAMPTON,MAR,16383,15076,0,0,31459,0,31459
ROCKHAMPTON,APR,1234,1271,0,0,2505,0,2505
ROCKHAMPTON,MAY,2071,2088,0,0,4159,0,4159
ROCKHAMPTON,JUN,4595,4698,0,0,9293,0,9293
ROCKHAMPTON,JUL,8535,8745,0,0,17280,0,17280
ROCKHAMPTON,AUG,8972,9209,0,0,18181,0,18181
SUNSHINE COAST,JAN,49802,53319,0,0,103121,0,103121
SUNSHINE COAST,FEB,40821,41262,0,0,82083,0,82083
SUNSHINE COAST,MAR,30794,31890,0,0,62684,0,62684
SUNSHINE COAST,APR,0,0,0,0,0,0,0
SUNSHINE COAST,MAY,0,0,0,0,0,0,0
SUNSHINE COAST,JUN,0,0,0,0,0,0,0
SUNSHINE COAST,JUL,4595,4152,0,0,8747,0,8747
SUNSHINE COAST,AUG,1032,1717,0,0,2749,0,2749
SYDNEY,JAN,1142353,1131604,877231,775800,2273957,1653031,3926988
SYDNEY,FEB,1003957,983714,595097,506896,1987671,1101993,3089664
SYDNEY,MAR,657237,661525,341102,344459,1318762,685561,2004323
SYDNEY,APR,28082,20096,7751,33619,48178,41370,89548
SYDNEY,MAY,33504,28774,10119,20218,62278,30337,92615
SYDNEY,JUN,74605,65547,12537,21934,140152,34471,174623
SYDNEY,JUL,134227,140497,12877,29798,274724,42675,317399
SYDNEY,AUG,55176,35022,9825,28770,90198,38595,128793
TOWNSVILLE,JAN,63574,59105,0,0,122679,0,122679
TOWNSVILLE,FEB,53546,51590,0,0,105136,0,105136
TOWNSVILLE,MAR,44037,43063,0,0,87100,0,87100
TOWNSVILLE,APR,3786,4068,0,0,7854,0,7854
TOWNSVILLE,MAY,4672,4575,0,0,9247,0,9247
TOWNSVILLE,JUN,11330,11590,0,0,22920,0,22920
TOWNSVILLE,JUL,28925,27368,0,0,56293,0,56293
TOWNSVILLE,AUG,27166,27623,0,0,54789,0,54789
All Australian Airports,JAN,5055479,5055479,2215508,1938543,10110958,4154051,14265009
All Australian Airports,FEB,4330713,4330713,1529809,1275620,8661426,2805429,11466855
All Australian Airports,MAR,3049073,3049073,887482,838247,6098146,1725729,7823875
All Australian Airports,APR,142694,142694,17304,58002,285388,75306,360694
All Australian Airports,MAY,169366,169366,18749,34240,338732,52989,391721
All Australian Airports,JUN,370155,370155,25244,39591,740310,64835,805145
All Australian Airports,JUL,717772,717772,20016,53835,1435544,73851,1509395
All Australian Airports,AUG,567014,567014,15549,56449,1134028,71998,1206026
