"Airport","Month","Dom_Pax_In","Dom_Pax_Out","Int_Pax_In","Int_Pax_Out","Pax_In"
"CANBERRA","MAR",132237.8,133974.6,1987.2,2073.8,134225
"CANBERRA","MAY",127315,128384.6,1741.6,2265.4,129056.6
"CANBERRA","NOV",137179,136121.4,2600,2877.6,139779
"CANBERRA","OCT",139607.8,134078.4,3165.4,2668.2,142773.2
"CANBERRA","SEP",130455.6,132365.2,2444.6,2950.8,132900.2
"DARWIN","APR",73518.8,71657,10141.2,10080,83660
"DARWIN","AUG",86923.4,92187.4,11611.6,12077.6,98535
"DARWIN","DEC",61719.2,73406.6,8220,14610.4,69939.2
"DARWIN","FEB",52727.2,53624.6,9594.4,7696.2,62321.6
"DARWIN","JAN",69870,58462.8,15424.4,10321,85294.4
"DARWIN","JUL",96409.2,99305.8,14019.4,12183.2,110428.6
"DARWIN","JUN",87486,82138.8,10644.2,12780.4,98130.2
"DARWIN","MAR",64805.2,63948.6,8785.2,8932.8,73590.4
"DARWIN","MAY",76212.8,73212.6,9961.4,10436.2,86174.2
"DARWIN","NOV",65649.8,67493.2,9141.4,9305.4,74791.2
"DARWIN","OCT",76892.8,81810.4,11241.2,9916.4,88134
"DARWIN","SEP",80711,81669.8,11016.2,10726.6,91727.2
"GOLD COAST","APR",224299,229613.6,44366.6,40111.4,268665.6
"GOLD COAST","AUG",214273,217537.6,42452.4,42635.6,256725.4
"GOLD COAST","DEC",251152.8,239088,45775,52452.2,296927.8
"GOLD COAST","FEB",190680,195659.4,39734,35193,230414
"GOLD COAST","JAN",250286,269737.2,52631.6,44715.4,302917.6
"GOLD COAST","JUL",236462.8,238199.4,51831,42630.4,288293.8
"GOLD COAST","JUN",196424.4,189607.6,37117.4,40081.6,233541.8
"GOLD COAST","MAR",215782.2,212595.2,42067,40484,257849.2
"GOLD COAST","MAY",193639.2,195581.6,37520,34943.4,231159.2
"GOLD COAST","NOV",221039.6,224635.6,38370,39886.2,259409.6
"GOLD COAST","OCT",242563.6,250796.8,45384.8,42027.6,287948.4
"GOLD COAST","SEP",236069.4,224861,41369.8,42782.8,277439.2
"HOBART","APR",102928.8,108995,0,0,102928.8
"HOBART","AUG",89298.8,90159.4,0,0,89298.8
"HOBART","DEC",133628.6,118625.8,0,0,133628.6
"HOBART","FEB",105334.4,103111.6,0,0,105334.4
"HOBART","JAN",117448.6,133209,0,0,117448.6
"HOBART","JUL",98033.4,100458.2,0,0,98033.4
"HOBART","JUN",89642.2,89565.6,0,0,89642.2
"HOBART","MAR",110638,113960.8,0,0,110638
