name,latitude_deg,longitude_deg,municipality,iata_code
Tamworth Airport,-31.08390045,150.8470001,Tamworth,TMW
Wagga Wagga City Airport,-35.16529846,147.4660034,Wagga Wagga,WGA
Thargomindah Airport,-27.9864006,143.8110046,,XTG
Thangool Airport,-24.4939003,150.576004,Biloela,THG
Tennant Creek Airport,-19.63439941,134.1829987,Tennant Creek,TCA
Taree Airport,-31.8885994,152.5140076,Taree,TRO
Windorah Airport,-25.41309929,142.6670074,,WNR
Whyalla Airport,-33.05889893,137.5140076,Whyalla,WYA
Newcastle Airport,-32.79499817,151.8339996,Williamtown,NTL
Wiluna Airport,-26.62919998,120.2210007,,WUN
Shellharbour Airport,-34.5611,150.789001,,WOL
Winton Airport,-22.36359978,143.0859985,,WIN
Wynyard Airport,-40.99890137,145.7310028,Burnie,BWT
Toowoomba Wellcamp Airport,-27.558332,151.793335,Toowoomba,WTB
